"","(E_lengths - CUFA_nomin_lengths)/E_lengths * 100"
"9424",0
"9433",0
"9480",0
"9504",0
"9527",0
"9573",0
"9587",0
"9769",0
"9787",0
"9900",0
"9912",0
"10043",0
"10052",0
"10275",0
"10370",0
"10374",0
"10501",0
"10504",0
"10614",0
"10632",0
"10639",0
"10710",0
"10712",0
"10839",0
"10843",0
"10879",0
"10970",0
"10973",0
"11220",0
"11229",0
"11232",0
"11300",0
"11319",0
"11333",0
"11338",0
"11355",0
"11356",0
"11357",0
"11358",0
"11398",0
"11399",0
"11458",0
"11463",0
"11464",0
"11465",0
"11466",0
"11481",0
"11521",0
"11522",0
"11578",0
"11579",0
"11588",0
"11590",0
"11609",0
"11645",0
"11702",0
"11703",0
"11710",0
"11711",0
"11765",0
"11766",0
"11767",0
"11824",0
"11825",0
"11826",0
"11888",0
"11889",0
"11899",0
"11900",0
"11939",0
"12012",0
"12021",0
"12063",0
"12142",0
"12263",0
"12266",0
"12389",0
"12390",0
"12423",0
"12455",0
"12562",0
"12631",0
"12682",0
"12684",0
"12806",0
"13299",0
"13385",0
"13459",0
"13583",0
"13689",0
"13714",0
"13798",0
"13807",0
"13933",0
"13951",0
"13952",0
"13953",0
"14050",0
"14070",0
"14071",0
"14072",0
"14073",0
"14074",0
"14075",0
"14076",0
"14173",0
"14174",0
"14193",0
"14194",0
"14211",0
"14263",0
"14313",0
"14314",0
"14317",0
"14318",0
"14422",0
"14434",0
"14442",0
"14552",0
"14564",0
"14565",0
"14588",0
"14678",0
"14692",0
"14693",0
"14787",0
"14789",0
"14790",0
"14791",0
"14820",0
"14821",0
"14824",0
"14918",0
"14940",0
"14946",0
"14954",0
"14979",0
"15043",0
"15044",0
"15048",0
"15049",0
"15050",0
"15051",0
"15068",0
"15073",0
"15075",0
"15081",0
"15085",0
"15086",0
"15119",0
"15178",0
"15180",0
"15181",0
"15182",0
"15183",0
"15185",0
"15186",0
"15208",0
"15210",0
"15213",0
"15254",0
"15255",0
"15311",0
"15312",0
"15313",0
"15314",0
"15325",0
"15340",0
"15342",0
"15348",0
"15349",0
"15358",0
"15386",0
"15446",0
"15447",0
"15461",0
"15494",0
"15505",0
"15580",0
"15581",0
"15614",0
"15629",0
"15640",0
"15642",0
"15659",0
"15713",0
"15716",0
"15717",0
"15736",0
"15775",0
"15777",0
"15848",0
"15850",0
"15851",0
"15852",0
"15901",0
"15902",0
"15908",0
"15911",0
"15983",0
"16038",0
"16044",0
"16072",0
"16073",0
"16116",0
"16117",0
"16169",0
"16170",0
"16175",0
"16206",0
"16302",0
"16303",0
"16308",0
"16309",0
"16333",0
"16339",0
"16436",0
"16437",0
"16440",0
"16442",0
"16470",0
"16571",0
"16574",0
"16604",0
"16680",0
"16706",0
"16707",0
"16710",0
"16711",0
"16712",0
"16821",0
"16841",0
"16844",0
"16845",0
"16846",0
"16954",0
"16974",0
"16977",0
"17088",0
"17110",0
"17111",0
"17112",0
"17113",0
"17114",0
"17139",0
"17244",0
"17245",0
"17246",0
"17247",0
"17371",0
"17379",0
"17380",0
"17381",0
"17382",0
"17383",0
"17516",0
"17517",0
"17518",0
"17519",0
"17641",0
"17642",0
"17652",0
"17653",0
"17654",0
"17780",0
"17792",0
"17793",0
"17794",0
"17795",0
"17921",0
"17932",0
"17933",0
"17934",0
"17935",0
"18057",0
"18075",0
"18076",0
"18077",0
"18078",0
"18079",0
"18124",0
"18200",0
"18221",0
"18222",0
"18224",0
"18358",0
"18369",0
"18370",0
"18500",0
"18517",0
"18518",0
"18519",0
"18520",0
"18659",0
"18668",0
"18669",0
"18670",0
"18671",0
"18718",0
"18807",0
"18808",0
"18818",0
"18819",0
"18820",0
"18821",0
"18960",0
"18968",0
"18969",0
"18970",0
"18971",0
"18995",0
"19117",0
"19118",0
"19120",0
"19121",0
"19122",0
"19176",0
"19274",0
"19275",0
"19277",0
"19412",0
"19431",0
"19432",0
"19582",0
"19586",0
"19587",0
"19588",0
"19742",0
"19744",0
"19900",0
"19901",0
"20055",0
"20095",0
"20199",0
"20250",0
"20251",0
"20252",0
"20253",0
"20409",0
"20410",0
"20425",0
"20515",0
"20732",0
"20893",0
"20907",0
"20986",0
"21056",0
"21220",0
"21229",0
"21233",0
"21241",0
"21347",0
"21396",0
"21397",0
"21485",0
"21674",0
"21747",0
"22223",0
"22225",0
"22234",0
"22236",0
"22241",0
"22330",0
"22380",0
"22381",0
"22391",0
"22400",0
"22401",0
"22475",0
"22480",0
"22501",0
"22559",0
"22562",0
"22563",0
"22567",0
"22569",0
"22570",0
"22638",0
"22723",0
"22725",0
"22741",0
"22798",0
"22907",0
"22908",0
"22958",0
"23037",0
"23041",0
"23061",0
"23117",0
"23118",0
"23139",0
"23145",0
"23188",0
"23199",0
"23200",0
"23201",0
"23202",0
"23271",0
"23273",0
"23276",0
"23297",0
"23298",0
"23459",0
"23460",0
"23520",0
"23607",0
"23623",0
"23624",0
"23681",0
"23682",0
"23685",0
"23758",0
"23790",0
"23849",0
"23852",0
"23891",0
"23923",0
"23955",0
"24017",0
"24120",0
"24179",0
"24180",0
"24181",0
"24284",0
"24345",0
"24346",0
"24347",0
"24352",0
"24353",0
"24354",0
"24451",0
"24514",0
"24517",0
"24518",0
"24519",0
"24521",0
"24522",0
"24523",0
"24524",0
"24525",0
"24526",0
"24527",0
"24528",0
"24529",0
"24618",0
"24685",0
"24689",0
"24695",0
"24696",0
"24698",0
"24786",0
"24863",0
"24865",0
"24866",0
"24869",0
"24871",0
"24955",0
"25010",0
"25036",0
"25037",0
"25205",0
"25206",0
"25208",0
"25221",0
"25377",0
"25516",0
"25544",0
"25682",0
"25719",0
"25851",0
"26019",0
"26054",0
"26183",0
"26344",0
"26380",0
"26503",0
"26530",0
"26658",0
"26692",0
"26693",0
"26700",0
"26851",0
"26852",0
"27013",0
"27168",0
"27169",0
"27196",0
"27328",0
"27356",0
"27457",0
"27485",0
"27639",0
"27667",0
"27668",0
"27825",0
"27948",0
"27949",0
"27980",0
"27981",0
"28064",0
"28065",0
"28134",0
"28135",0
"28226",0
"28231",0
"28287",0
"28289",0
"28290",0
"28291",0
"28445",0
"28448",0
"28531",0
"28600",0
"28601",0
"28603",0
"28731",0
"28733",0
"28753",0
"28756",0
"28835",0
"28894",0
"28914",0
"29065",0
"29166",0
"29221",0
"29321",0
"29356",0
"29387",0
"29392",0
"29474",0
"29475",0
"29509",0
"29511",0
"29544",0
"29628",0
"29679",0
"29683",0
"29818",0
"29851",0
"29852",0
"29859",0
"29940",0
"30095",0
"30096",0
"30141",0
"30237",0
"30238",0
"30242",0
"30251",0
"30414",0
"30424",0
"30425",0
"30548",0
"30939",0
"31403",0
"31417",0
"31560",0
"31654",0
"31656",0
"31818",0
"32059",0
"32060",0
"32140",0
"32143",0
"32146",0
"32474",0
"32815",0
"32816",0
"32989",0
"33071",0
"33140",0
"33238",0
"33309",0
"33404",0
"33492",0
"33562",0
"33659",0
"33731",0
"33978",0
"33989",0
"34151",0
"34384",0
"34477",0
"34479",0
"34545",0
"34640",0
"34641",0
"34804",0
"35041",0
"35051",0
"35131",0
"35212",0
"35380",0
"35627",0
"35711",0
"35997",0
"36056",0
"36061",0
"36237",0
"36409",0
"36500",0
"36501",0
"36577",0
"37127",0
"37269",0
"37445",0
"37617",0
"37624",0
"37787",0
"37791",0
"38233",0
"38304",0
"38473",0
"39349",0
"39843",0
"39858",0
"40024",0
"40435",0
"41188",0
"41189",0
"41258",0
"41330",0
"41331",0
"41332",0
"41380",0
"41471",0
"41521",0
"41522",0
"41536",0
"41661",0
"41799",0
"41880",0
"41937",0
"41955",0
"42080",0
"42107",0
"42199",0
"42222",0
"42251",0
"42363",0
"42391",0
"42501",0
"42634",0
"42652",0
"42657",0
"42766",0
"42889",0
"42905",0
"43026",0
"43071",0
"43133",0
"43192",0
"43194",0
"43430",0
"43437",0
"15",0
"45",0
"119",0
"156",0
"190",0
"217",0
"218",0
"307",0
"308",0
"311",0
"428",0
"463",0
"521",0
"524",0
"596",0
"617",0
"686",0
"733",0
"801",0
"804",0
"848",0
"850",0
"943",0
"1023",0
"1034",0
"1044",0
"1047",0
"1079",0
"1229",0
"1289",0
"1293",0
"1301",0
"1392",0
"1463",0
"1481",0
"1482",0
"1577",0
"1579",0
"1618",0
"1663",0
"1679",0
"1695",0
"1714",0
"1809",0
"1888",0
"1901",0
"1922",0
"1971",0
"1989",0
"2004",0
"2077",0
"2084",0
"2104",0
"2153",0
"2210",0
"2214",0
"2230",0
"2271",0
"2275",0
"2302",0
"2311",0
"2315",0
"2381",0
"2406",0
"2411",0
"2422",0
"2497",0
"2544",0
"2552",0
"2568",0
"2577",0
"2591",0
"2611",0
"2612",0
"2621",0
"2629",0
"2658",0
"2677",0
"2688",0
"2695",0
"2699",0
"2718",0
"2719",0
"2773",0
"2886",0
"2923",0
"2969",0
"2972",0
"2983",0
"2984",0
"2985",0
"3008",0
"3031",0
"3096",0
"3098",0
"3115",0
"3123",0
"3215",0
"3227",0
"3240",0
"3317",0
"3329",0
"3384",0
"3405",0
"3463",0
"3561",0
"3576",0
"3887",0
"3897",0
"3898",0
"3929",0
"3934",0
"3943",0
"3947",0
"3988",0
"4004",0
"4066",0
"4127",0
"4142",0
"4147",0
"4160",0
"4164",0
"4224",0
"4252",0
"4304",0
"4309",0
"4400",0
"4432",0
"4492",0
"4530",0
"4532",0
"4647",0
"4655",0
"4656",0
"4659",0
"4663",0
"4664",0
"4723",0
"4827",0
"4938",0
"5020",0
"5022",0
"5023",0
"5024",0
"5025",0
"5026",0
"5027",0
"5028",0
"5029",0
"5030",0
"5035",0
"5072",0
"5115",0
"5149",0
"5150",0
"5152",0
"5159",0
"5189",0
"5221",0
"5285",0
"5304",0
"5368",0
"5400",0
"5401",0
"5410",0
"5411",0
"5446",0
"5448",0
"5539",0
"5540",0
"5541",0
"5543",0
"5672",0
"5708",0
"5996",0
"5998",0
"6012",0
"6083",0
"6089",0
"6130",0
"6200",0
"6320",0
"6323",0
"6324",0
"6329",0
"6397",0
"6448",0
"6451",0
"6452",0
"6456",0
"6476",0
"6524",0
"6542",0
"6576",0
"6582",0
"6653",0
"6793",0
"6874",0
"6885",0
"6888",0
"6928",0
"6948",0
"7019",0
"7021",0
"7022",0
"7034",0
"7151",0
"7154",0
"7156",0
"7157",0
"7213",0
"7284",0
"7288",0
"7289",0
"7290",0
"7344",0
"7345",0
"7348",0
"7351",0
"7418",0
"7425",0
"7426",0
"7430",0
"7458",0
"7478",0
"7549",0
"7550",0
"7551",0
"7560",0
"7561",0
"7562",0
"7563",0
"7683",0
"7696",0
"7697",0
"7698",0
"7743",0
"7813",0
"7845",0
"7862",0
"7863",0
"7871",0
"7876",0
"7946",0
"7961",0
"7962",0
"7995",0
"8009",0
"8010",0
"8079",0
"8094",0
"8095",0
"8096",0
"8097",0
"8129",0
"8146",0
"8206",0
"8207",0
"8211",0
"8212",0
"8224",0
"8225",0
"8226",0
"8227",0
"8262",0
"8339",0
"8342",0
"8343",0
"8356",0
"8386",0
"8387",0
"8453",0
"8469",0
"8472",0
"8473",0
"8474",0
"8475",0
"8488",0
"8524",0
"8531",0
"8532",0
"8543",0
"8605",0
"8606",0
"8607",0
"8622",0
"8668",0
"8725",0
"8741",0
"8758",0
"8876",0
"8877",0
"8894",0
"8942",0
"8955",0
"9008",0
"9027",0
"9052",0
"9062",0
"9069",0
"9091",0
"9159",0
"9292",0
"9294",0
"9351",0
"9505",0
"9574",0
"9615",0
"9766",0
"9768",0
"9779",0
"9891",0
"9911",0
"9920",0
"9922",0
"9986",0
"10048",0
"10050",0
"10181",0
"10182",0
"10183",0
"10250",0
"10315",0
"10316",0
"10443",0
"10446",0
"10448",0
"10449",0
"10450",0
"10451",0
"10500",0
"10503",0
"10509",0
"10510",0
"10578",0
"10584",0
"10585",0
"10586",0
"10587",0
"10588",0
"10692",0
"10696",0
"10715",0
"10718",0
"10719",0
"10720",0
"10762",0
"10773",0
"10777",0
"10808",0
"10833",0
"10834",0
"10836",0
"10842",0
"10851",0
"10852",0
"10853",0
"10965",0
"10971",0
"10981",0
"11011",0
"11100",0
"11104",0
"11107",0
"11162",0
"11165",0
"11233",0
"11238",0
"11275",0
"11344",0
"11350",0
"11352",0
"11400",0
"11480",0
"11482",0
"11488",0
"11551",0
"11585",0
"11592",0
"11597",0
"11603",0
"11713",0
"11717",0
"11778",0
"11827",0
"11828",0
"11829",0
"11833",0
"11850",0
"11964",0
"12013",0
"12086",0
"12087",0
"12135",0
"12184",0
"12264",0
"12268",0
"12313",0
"12331",0
"12384",0
"12386",0
"12388",0
"12440",0
"12507",0
"12509",0
"12560",0
"12561",0
"12681",0
"12683",0
"12802",0
"12808",0
"12809",0
"12925",0
"12930",0
"13045",0
"13434",0
"13451",0
"13544",0
"13558",0
"13559",0
"13560",0
"13673",0
"13685",0
"13707",0
"13710",0
"13711",0
"13712",0
"13713",0
"13836",0
"13927",0
"13939",0
"13954",0
"13963",0
"14069",0
"14088",0
"14180",0
"14188",0
"14286",0
"14312",0
"14336",0
"14430",0
"14435",0
"14443",0
"14462",0
"14551",0
"14556",0
"14566",0
"14786",0
"14788",0
"14808",0
"14823",0
"14843",0
"14937",0
"14939",0
"15046",0
"15082",0
"15089",0
"15179",0
"15184",0
"15187",0
"15191",0
"15209",0
"15211",0
"15218",0
"15251",0
"15253",0
"15387",0
"15564",0
"15611",0
"15662",0
"15735",0
"15765",0
"15935",0
"15936",0
"15937",0
"15980",0
"15987",0
"16276",0
"16465",0
"16466",0
"16467",0
"16468",0
"16469",0
"16545",0
"16570",0
"16577",0
"16602",0
"16603",0
"16847",0
"16949",0
"16955",0
"16978",0
"16979",0
"17133",0
"17225",0
"17243",0
"17249",0
"17496",0
"17644",0
"17772",0
"17783",0
"17924",0
"18067",0
"18121",0
"18211",0
"18212",0
"18246",0
"18359",0
"18360",0
"18367",0
"18373",0
"18516",0
"18667",0
"18672",0
"18815",0
"18964",0
"18965",0
"18966",0
"19021",0
"19110",0
"19114",0
"19115",0
"19116",0
"19267",0
"19268",0
"19329",0
"19423",0
"19485",0
"19739",0
"19740",0
"19741",0
"19745",0
"19894",0
"19895",0
"20047",0
"20108",0
"20112",0
"20201",0
"20209",0
"20268",0
"20355",0
"20356",0
"20540",0
"20676",0
"20695",0
"21004",0
"21058",0
"21065",0
"21181",0
"21221",0
"21242",0
"21348",0
"21390",0
"21391",0
"21407",0
"21408",0
"21547",0
"21746",0
"22167",0
"22224",0
"22233",0
"22237",0
"22382",0
"22405",0
"22414",0
"22474",0
"22477",0
"22500",0
"22565",0
"22566",0
"22575",0
"22639",0
"22714",0
"22729",0
"22733",0
"22748",0
"23038",0
"23275",0
"23283",0
"23359",0
"23521",0
"23606",0
"23608",0
"23766",0
"23789",0
"23954",0
"24018",0
"24088",0
"24127",0
"24172",0
"24178",0
"24182",0
"24357",0
"24531",0
"24532",0
"24694",0
"24700",0
"24787",0
"25125",0
"25294",0
"25295",0
"25389",0
"25463",0
"25630",0
"25720",0
"25799",0
"25800",0
"25967",0
"25968",0
"26131",0
"26132",0
"26293",0
"26294",0
"26295",0
"26450",0
"26451",0
"26498",0
"26539",0
"26611",0
"26612",0
"26772",0
"26773",0
"26931",0
"26932",0
"27011",0
"27089",0
"27090",0
"27246",0
"27406",0
"27407",0
"27450",0
"27484",0
"27563",0
"27564",0
"27565",0
"27613",0
"27721",0
"27772",0
"27882",0
"27926",0
"27977",0
"28039",0
"28131",0
"28195",0
"28225",0
"28257",0
"28258",0
"28259",0
"28260",0
"28288",0
"28292",0
"28352",0
"28353",0
"28415",0
"28416",0
"28446",0
"28510",0
"28511",0
"28572",0
"28573",0
"28574",0
"28575",0
"28576",0
"28602",0
"28668",0
"28669",0
"28695",0
"28730",0
"28732",0
"28757",0
"28848",0
"28852",0
"28891",0
"28892",0
"28893",0
"28910",0
"29010",0
"29050",0
"29051",0
"29143",0
"29204",0
"29205",0
"29206",0
"29217",0
"29322",0
"29358",0
"29359",0
"29360",0
"29476",0
"29512",0
"29613",0
"29627",0
"29663",0
"29664",0
"29698",0
"29699",0
"29705",0
"29780",0
"29819",0
"29831",0
"29833",0
"29836",0
"29941",0
"29943",0
"29944",0
"29945",0
"29946",0
"29975",0
"29987",0
"30009",0
"30089",0
"30097",0
"30098",0
"30101",0
"30103",0
"30104",0
"30105",0
"30142",0
"30233",0
"30235",0
"30236",0
"30239",0
"30240",0
"30252",0
"30259",0
"30260",0
"30270",0
"30273",0
"30295",0
"30296",0
"30387",0
"30395",0
"30413",0
"30415",0
"30422",0
"30423",0
"30427",0
"30428",0
"30448",0
"30461",0
"30551",0
"30571",0
"30576",0
"30577",0
"30579",0
"30580",0
"30581",0
"30582",0
"30583",0
"30584",0
"30585",0
"30586",0
"30590",0
"30603",0
"30705",0
"30731",0
"30733",0
"30734",0
"30746",0
"30747",0
"30748",0
"30761",0
"30863",0
"30892",0
"30906",0
"30907",0
"31016",0
"31247",0
"31260",0
"31416",0
"31486",0
"31573",0
"31574",0
"31655",0
"31657",0
"31732",0
"31733",0
"31884",0
"31894",0
"31895",0
"31896",0
"31969",0
"31970",0
"31975",0
"31978",0
"31980",0
"31981",0
"32144",0
"32145",0
"32226",0
"32302",0
"32311",0
"32312",0
"32313",0
"32479",0
"32647",0
"32802",0
"32972",0
"32976",0
"33158",0
"33326",0
"33398",0
"33399",0
"33491",0
"33565",0
"33725",0
"33727",0
"33827",0
"33828",0
"33975",0
"33976",0
"33985",0
"33990",0
"34154",0
"34155",0
"34305",0
"34308",0
"34315",0
"34316",0
"34317",0
"34478",0
"34480",0
"34481",0
"34642",0
"34707",0
"34807",0
"34868",0
"34883",0
"34969",0
"35034",0
"35045",0
"35052",0
"35053",0
"35211",0
"35287",0
"35297",0
"35378",0
"35456",0
"35467",0
"35544",0
"35548",0
"35549",0
"35550",0
"35714",0
"35720",0
"35885",0
"35886",0
"36060",0
"36236",0
"36328",0
"36329",0
"36330",0
"36419",0
"36421",0
"36499",0
"36748",0
"36872",0
"36873",0
"37043",0
"37106",0
"37107",0
"37268",0
"37386",0
"37616",0
"37788",0
"37891",0
"38401",0
"38573",0
"39009",0
"39164",0
"39178",0
"39341",0
"39639",0
"39689",0
"39704",0
"39808",0
"39859",0
"39872",0
"40311",0
"40358",0
"40372",0
"40685",0
"40746",0
"41329",0
"41470",0
"41472",0
"41565",0
"41607",0
"41608",0
"41609",0
"41662",0
"41743",0
"41745",0
"41800",0
"41801",0
"41820",0
"41879",0
"41938",0
"41939",0
"41963",0
"41992",0
"42081",0
"42082",0
"42084",0
"42205",0
"42223",0
"42364",0
"42422",0
"42502",0
"42503",0
"42636",0
"42669",0
"42767",0
"42978",0
"43006",0
"43223",0
"43272",0
"43353",0
"43431",0
"43433",0
"43434",0
"383",-100
"490",50
"689",0
"944",0
"969",-100
"985",-100
"1082",0
"1266",-100
"1708",50
"1718",50
"1810",-100
"1828",-100
"1906",50
"1924",-100
"1997",-100
"2188",0
"2412",0
"2414",50
"2415",-100
"2478",-100
"2493",0
"2692",50
"2707",-100
"2712",0
"2878",-100
"2885",-100
"3327",-100
"3932",0
"3950",0
"4026",0
"4049",-100
"4055",0
"4068",0
"4148",-100
"4168",-100
"4266",0
"4289",0
"4408",-100
"4410",-100
"4426",-100
"4639",0
"4891",0
"5014",-100
"5017",0
"5142",0
"5147",0
"5153",50
"5278",-100
"5280",-100
"5282",50
"5402",-100
"5529",0
"6062",0
"6190",-100
"6191",50
"6319",-100
"6449",-100
"6859",-100
"7018",-100
"7292",-100
"7427",0
"7564",0
"7925",0
"8449",0
"8471",50
"8608",-100
"8738",50
"9009",0
"9025",0
"9160",-100
"9276",-100
"9366",0
"9489",-100
"9503",0
"9577",0
"9767",0
"9793",0
"9890",-100
"10148",-100
"10371",-100
"10372",-100
"10373",-100
"10409",-100
"10640",-100
"10694",-100
"10713",0
"10826",0
"10837",0
"10849",-100
"10983",0
"11105",0
"11142",0
"11234",-100
"11237",0
"11268",0
"11273",0
"11339",0
"11354",0
"11359",0
"11454",-100
"11461",0
"11474",-100
"11475",-100
"11485",-100
"11646",-100
"11653",0
"11714",0
"11725",-100
"11776",-100
"11834",-100
"11839",0
"11840",0
"11846",0
"11847",-100
"11848",0
"11849",0
"11890",0
"12014",0
"12067",-100
"12068",-100
"12187",-100
"12197",50
"12205",0
"12265",0
"12312",0
"12319",-100
"12332",50
"12333",50
"12454",0
"12456",0
"12457",0
"12626",0
"12630",-100
"12795",-100
"12798",0
"12805",-100
"13046",-100
"13047",0
"13078",0
"13150",50
"13305",0
"13335",-100
"13433",0
"13686",-100
"13838",-100
"14066",0
"14077",-100
"14199",-100
"14200",-100
"14212",-100
"14310",0
"14438",50
"14535",50
"14846",-100
"14948",0
"15052",50
"15070",0
"15078",0
"15341",0
"15368",-100
"15478",-100
"15493",0
"15507",-100
"15579",-100
"15582",-100
"15596",50
"15612",-100
"15714",0
"15754",0
"15849",50
"15870",0
"15900",0
"15934",-100
"15981",-100
"15986",50
"16007",-100
"16008",0
"16037",0
"16382",0
"16679",50
"16814",-100
"16817",-100
"16840",-100
"16843",-100
"16878",0
"17108",-100
"17221",0
"17222",-100
"17495",0
"17509",0
"17514",0
"17515",-100
"17647",-100
"17648",50
"17649",-100
"17650",0
"17781",0
"17784",0
"17786",-100
"17914",0
"18056",-100
"18210",0
"18508",-100
"18510",0
"18567",0
"18660",-100
"18813",-100
"18865",-100
"19252",0
"19328",0
"19576",0
"19577",50
"19641",-100
"20345",0
"20541",-100
"20696",0
"20700",-100
"21077",0
"21169",0
"21748",-100
"22309",-100
"22387",0
"22396",-100
"22397",0
"22402",0
"22551",0
"22552",50
"22572",-100
"22883",-100
"22884",0
"22894",-100
"22901",-100
"22957",-100
"23217",0
"23228",-400
"23360",-300
"23373",-150
"23433",-400
"23679",-100
"23686",-250
"23759",-100
"23848",-250
"24012",-150
"24013",-100
"24014",-150
"24019",-500
"24087",-150
"24183",-250
"24184",-300
"24344",-300
"24350",-100
"24351",-100
"24361",-300
"24530",-300
"24590",-100
"24684",-150
"24690",-400
"24965",-400
"25038",-300
"26069",-100
"26180",-100
"26232",-100
"26625",-300
"26701",-300
"27167",-100
"27197",-100
"27247",-500
"27295",-300
"27327",-300
"27770",-500
"27794",-300
"28362",-300
"28670",-300
"28700",-300
"28729",-600
"28915",-100
"28916",-250
"29006",-600
"29167",-250
"29201",-300
"29242",-300
"29375",-400
"29396",-400
"29629",-100
"29682",-150
"29684",-250
"29934",-200
"30083",-100
"30085",-300
"30086",-600
"30099",-100
"30241",-300
"30318",-300
"30420",-600
"30473",-300
"30543",-300
"30578",-150
"30623",-300
"30704",-300
"30706",-300
"30744",-300
"30774",-300
"30782",-150
"30787",-600
"30865",-200
"30932",-400
"30944",-300
"31102",-300
"31103",-150
"31172",-100
"31261",-300
"31566",-400
"31646",-300
"31724",-300
"31817",-100
"31979",-300
"32135",-100
"32646",-400
"32648",-600
"32973",-300
"32977",-100
"32988",-250
"33230",-100
"33324",-150
"33325",-300
"33475",-400
"33559",-300
"33561",-300
"33563",-100
"33654",-600
"33724",-400
"33726",-150
"33826",-300
"33891",-100
"33893",-300
"33894",-300
"33896",-300
"34138",-600
"34152",-300
"34314",-600
"34382",-100
"34383",-300
"34643",-150
"34719",-150
"34806",-300
"34879",-100
"34880",-300
"34884",-300
"34968",-500
"35137",-600
"35210",-250
"35379",-500
"35541",-600
"35633",-400
"35713",-400
"35881",-300
"36420",-100
"36592",-400
"36763",-300
"36919",-300
"36934",-300
"36935",-250
"37044",-100
"37281",-600
"37555",-300
"37557",-200
"37726",-150
"37790",-300
"37966",-400
"38064",-300
"38070",-600
"38239",-150
"38409",-100
"38487",-300
"38660",-100
"38832",-400
"38838",-100
"39007",-100
"39015",-100
"39181",-400
"39182",-100
"39188",-300
"39360",-100
"39531",-600
"39677",-100
"39873",-150
"39874",-600
"40042",-600
"40111",-600
"40207",-600
"40208",-100
"40684",-300
"40836",-400
"41281",-150
"41425",-250
"41571",-600
"41684",-300
"41711",-100
"41825",-600
"41878",-300
"41940",-300
"41964",-250
"41991",-300
"42016",-150
"42060",-600
"42083",-100
"42108",-100
"42158",-100
"42224",-100
"42225",-300
"42226",-400
"42300",-100
"42365",-400
"42366",-300
"42367",-300
"42637",-250
"42638",-300
"42743",-250
"42768",-600
"42769",-400
"42798",-400
"42850",-100
"42864",-300
"42891",-250
"43029",-100
"43090",-300
"43117",-300
"43429",-250
